Région,Type de protection,Année de protection,Commune,Appellation courante
Aquitaine (Nouvelle-Aquitaine),C,1995,Ciboure,Villa Leïhorra
Aquitaine (Nouvelle-Aquitaine),I,2000,Pau,Eglise Saint-Joseph
Aquitaine (Nouvelle-Aquitaine),I,1993,Saint-Jean-de-Luz,Feu aval d'alignement du port
Aquitaine (Nouvelle-Aquitaine),I,1995,Salies-de-Béarn,Casino
Languedoc-Roussillon (Occitanie),I,1987,Cerbère,ancien hôtel Belvédère du Rayon vert
Languedoc-Roussillon (Occitanie),I,2011,Font-Romeu-Odeilla-Via,Immeuble des maisons solaires Trombe-Michel
Languedoc-Roussillon (Occitanie),I,2009,Font-Romeu-Odeillo-Via,Four solaire d'Odeillo
Languedoc-Roussillon (Occitanie),I,1997,Perpignan,"Cinéma ""Castillet"""
Réunion,I,2000,Cilaos,Eglise paroissiale Notre-Dame-des-Neiges
Réunion,I,2010,Saint-André,Temple Mardévirin
Réunion,I,2011,Saint-Benoît,Caserne de gendarmerie
Réunion,I,2010,Saint-Benoît,Temple de Morange
Réunion,I,2011,Saint-Denis,"Immeuble construit par Jean Bossu, à l'angle des rues Félix-Guyon et Maréchal-Leclerc"
Réunion,I,2014,Saint-Denis,Immeuble de la Poste
Réunion,I,2011,Saint-Denis,Immeubles de la Direction de l'Agriculture et de la Forêt
Réunion,I,2006,Saint-Denis,Maison dite Bossu
Réunion,I,2012,Saint-Paul,Théâtre de plein air de Saint-Gilles-les-Bains
Réunion,I,2006,Saint-Pierre,Lavoir dit Casabona
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1990,Dardilly,Emetteur radio
Rhône-Alpes (Auvergne-Rhône-Alpes),C,1979,Eveux,Couvent Sainte-Marie-de-la-Tourette
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Lyon,"Ancienne école de tissage, actuellement lycée technique d'enseignement"
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Lyon,Villa
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Lyon,Villa
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1989,Lyon 03,bourse du travail
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1967,Lyon 03,Hôpital Edouard Herriot ou hôpital de Grange-Blanche
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1992,Lyon 07,Garage Citroën
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1967,Lyon 07,Stade municipal dit stade Gerland
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Lyon 09,Immeuble
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2007,Sainte-Foy-lès-Lyon,Séminaire Saint-Irénée
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2011,Vaulx-en-Velin,Usine Tase
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2006,Vénissieux,Eglise Sainte-Jeanne-d'Arc de Parilly
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2003,Vénissieux,Groupe scolaire Louis-Pasteur
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Villeurbanne,Hôtel de ville
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Villeurbanne,Villa dite Villa Lafont
Saint-Pierre-et-Miquelon,C,2012,Miquelon-Langlade,Phare de Pointe-Plate
Bourgogne (Bourgogne-Franche-Comté),C,1996,Chalon-sur-Saône,Chapelle de la Colombière
Bourgogne (Bourgogne-Franche-Comté),I,2013,Chalon-sur-Saône,"Espace des Arts et Maison des Sports, anciennement "" Maison de la Culture et des Sports """
Bourgogne (Bourgogne-Franche-Comté),I,2012,Chalon-sur-Saône,Lycée Nicéphore-Niepce (anciennement École Nationale Professionnelle)
Bourgogne (Bourgogne-Franche-Comté),I,1999,Louhans,Théâtre municipal
Bourgogne (Bourgogne-Franche-Comté),I,2013,Mazille,Carmel de la Paix
Bourgogne (Bourgogne-Franche-Comté),I,2000,Montceau-les-Mines,Site du lavoir des Chavannes (également sur commune de Saint-Vallier)
Bourgogne (Bourgogne-Franche-Comté),I,2000,Saint-Vallier,Site du lavoir des Chavannes
Pays de la Loire,I,2008,Mans (Le),Autogare de la S.T.A.O. (Société des transports automobiles de l'Ouest)
Pays de la Loire,I,2002,Marçon,Restaurant scolaire
Pays de la Loire,I,2011,Vallon-sur-Gée,Manoir de Guiberne
Rhône-Alpes (Auvergne-Rhône-Alpes),I&C,1987,Aix-les-Bains,Ancien Hôtel Royal ou Palace Royal
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1987,Modane,Ancienne rizerie des Alpes
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2005,Saint-Bon-Tarentaise,Chapelle Notre-Dame de l'Assomption à Courchevel 1850
Ile-de-France,I,1998,Courpalay,Silo à grains
Ile-de-France,I,1965,Esbly,Pont sur la Marne (également sur commune d'Isles-lès-Villenoy)
Ile-de-France,I,1965,Isles-lès-Villenoy,Pont sur la Marne
Ile-de-France,I,1998,Meaux,Chapelle de l'ancien grand séminaire
Ile-de-France,I,2002,Nemours,Musée de Préhistoire d'Ile-de-France
Ile-de-France,I&C,1986,Noisiel,Ancienne usine Menier
Ile-de-France,I,1986,Saint-Fargeau-Ponthierry,Ancienne usine Leroy
Haute-Normandie (Normandie),I,2001,Arques-la-Bataille,Groupe scolaire
Haute-Normandie (Normandie),I,2002,Dieppe,Eglise du Sacré-Coeur de Janval
Haute-Normandie (Normandie),I,2012,Dieppe,Villa Perrotte
Haute-Normandie (Normandie),I,1996,Fontaine-la-Mallet,Batterie d'artillerie de Fèvretot
Haute-Normandie (Normandie),I,1996,Fontaine-la-Mallet,Batterie d'artillerie des Monts-Trottins
Haute-Normandie (Normandie),I,2001,Fontaine-la-Mallet,Eglise paroissiale Saint-Valéry
Haute-Normandie (Normandie),I,2004,Foucarmont,Eglise Saint-Martin
Haute-Normandie (Normandie),I,1996,Gonfreville-l'Orcher,Encuvement sur abri pour canon de 50 mm antichar
Haute-Normandie (Normandie),I,1996,Grand-Quevilly (Le),"Maison de contremaître de la société A. André Fils, dite maison Perret"
Haute-Normandie (Normandie),I,1965,Havre (Le),Eglise Saint-Joseph
Haute-Normandie (Normandie),I,2005,Havre (Le),Eglise Sainte-Jeanne-d'Arc
Haute-Normandie (Normandie),I,1975,Mont-Cauvaire,Ancienne chapelle du collège de Normandie
Haute-Normandie (Normandie),I,1994,Octeville-sur-Mer,Abri type R 634
Haute-Normandie (Normandie),I,1996,Octeville-sur-Mer,Batterie d'artillerie d'Ecqueville
Haute-Normandie (Normandie),I,1996,Octeville-sur-Mer,"Point-fort de Dondeneville est, dit La Ferme Hamel"
Haute-Normandie (Normandie),I,1998,Rouen,Eglise paroissiale Saint-Jean-Eudes
Haute-Normandie (Normandie),I,1981,Rouen,Eglise Saint-Nicaise
Haute-Normandie (Normandie),I,2002,Rouen,Eglise Sainte-Jeanne-d'Arc
Haute-Normandie (Normandie),I,1975,Rouen,Gare rive droite
Haute-Normandie (Normandie),I,2000,Rouen,Immeuble le Métropole
Haute-Normandie (Normandie),I,2010,Sainte-Adresse,Phare de la Hève
Haute-Normandie (Normandie),I,2004,Sotteville-lès-Rouen,Eglise Saint-Vincent-de-Paul
Haute-Normandie (Normandie),I,2001,Yvetot,Eglise paroissiale Saint-Pierre
Ile-de-France,I,1996,Blanc-Mesnil (Le),Cité d'Habitations Bon Marché
Ile-de-France,I,2005,Bobigny,Ancienne gare SNCF de la Grande Ceinture
Ile-de-France,I,2007,Bobigny,Bourse départementale du Travail
Ile-de-France,I,2006,Bobigny,Cimetière musulman
Ile-de-France,I,2006,Bobigny,"Hôpital Avicenne, ancien hôpital franco-musulman"
Ile-de-France,C,2001,Drancy,"Camp de Drancy, puis Cité de la Muette"
Ile-de-France,I,1994,Dugny,Aérogare du Bourget
Ile-de-France,C,1994,Epinay-sur-Seine,Eglise Notre-Dame-des-Missions
Ile-de-France,I,2007,Île-Saint-Denis (L'),Centre sportif municipal de Saint-Ouen situé sur le site de l'Ile des Vannes
Ile-de-France,I,2004,Neuilly-Plaisance,Eglise Notre-Dame de l'Assomption ou Notre-Dame d'Avron
Ile-de-France,I,2000,Noisy-le-Sec,Cité expérimentale de Merlan
Ile-de-France,I,1997,Pantin,Groupe scolaire (école primaire de plein air et maternelle)
Ile-de-France,I,1997,Pantin,Piscine
Ile-de-France,I,1997,Pantin,Usine élévatrice des eaux
Ile-de-France,I,1997,Pré-Saint-Gervais (Le),Groupe scolaire Jaurès-Brossolette
Ile-de-France,I,2002,Raincy (Le),Ancien parc à l'anglaise du duc d'Orléans (également sur commune des Pavillons-sous-Bois) et lycée Albert Schweitzer
Ile-de-France,C,1966,Raincy (Le),Eglise Notre-Dame (oeuvre d'Auguste Perret)
Ile-de-France,I,1997,Romainville,"Cinéma ""Le Trianon"""
Ile-de-France,I,1998,Saint-Denis,Ancienne usine Coignet
Ile-de-France,I,1998,Saint-Denis,Ancienne usine Coignet
Ile-de-France,I,1998,Saint-Denis,Ancienne usine Coignet
Ile-de-France,I,2004,Saint-Denis,Anciens ateliers de réparation SNCF de La Plaine
Ile-de-France,I,2007,Saint-Denis,Siège du Journal l'Humanité
Ile-de-France,I,1996,Villemomble,Eglise Saint-Louis
Picardie (Hauts-De-France),I,1975,Amiens,Ensemble architectural
Picardie (Hauts-De-France),I,2000,Ault,Petit casino d'Onival
Picardie (Hauts-De-France),C,2005,Grivesnes,Eglise Saint-Agnan
Picardie (Hauts-De-France),I,1994,Hangest-en-Santerre,Eglise Saint-Martin
Picardie (Hauts-De-France),I,1994,Lamotte-Warfusée,Eglise Saint-Pierre de Lamotte
Picardie (Hauts-De-France),I,2003,Longueau,Rotonde ferroviaire
Picardie (Hauts-De-France),I,2003,Montdidier,Hôtel de ville
Picardie (Hauts-De-France),I,1994,Moreuil,Eglise Saint-Vast
Picardie (Hauts-De-France),C,1997,Roye,Eglise Saint-Pierre
Midi-Pyrénées (Occitanie),I,2001,Alban,Eglise paroissiale Notre-Dame
Midi-Pyrénées (Occitanie),I,2005,Albi,Eglise Notre-Dame du Breuil
Midi-Pyrénées (Occitanie),I,2005,Albi,Eglise Saint-Jean de Rayssac
Midi-Pyrénées (Occitanie),I,2001,Aussillon,Eglise du Sacré-Coeur de Bonnecousse
Midi-Pyrénées (Occitanie),I,2005,Saint-Germain-des-Prés,Maison-atelier du peintre Carrade
Midi-Pyrénées (Occitanie),C,1994,Bourret,Ancien pont suspendu
Midi-Pyrénées (Occitanie),I,2005,Montauban,Ancien marché de Villebourbon
Midi-Pyrénées (Occitanie),I,2005,Montauban,Monument aux morts de la guerre de 1914 - 1918
Midi-Pyrénées (Occitanie),I,2005,Montauban,Pont Neuf
Franche-Comté (Bourgogne-Franche-Comté),I,1999,Belfort,Eglise Sainte-Jeanne-d'Arc
Franche-Comté (Bourgogne-Franche-Comté),I,1995,Meroux,Ouvrage de Meroux
Ile-de-France,I,1999,Aincourt,"Ancien sanatorium, faisant partie du centre hospitalier du Vexin, sis dans le parc de la Bucaille"
Ile-de-France,I,1990,Beaumont-sur-Oise,Cinéma Le Palace
Ile-de-France,C,1997,Montmagny,Chapelle Sainte-Thérèse
Ile-de-France,C,1999,Arcueil,Chapelle des Franciscains ou chapelle Perret
Ile-de-France,I,2002,Cachan,Hôtel de ville
Ile-de-France,I,2000,Gentilly,"Eglise du Sacré-Coeur, ancienne chapelle de la cité universitaire"
Ile-de-France,I,2003,Ivry-sur-Seine,Logements d'Electricité de France
Ile-de-France,I,1993,Maisons-Alfort,Ancienne usine de la Suze
Ile-de-France,I,2007,Maisons-Alfort,"Cité d'Habitations à Bon Marché du Square Dufourmantelle, délimitée par la rue Jean-Jaurès, la rue de Rome, l'avenue de la Liberté et le square Gabriel-Fauré"
Ile-de-France,C,1984,Maisons-Alfort,Eglise Sainte-Agnès
Ile-de-France,I,1994,Maisons-Alfort,Groupe scolaire Condorcet
Ile-de-France,I,2002,Maisons-Alfort,Groupe scolaire Jules-Ferry
Ile-de-France,I,1999,Rungis,Eglise Notre-Dame de l'Assomption
Ile-de-France,I&C,1975,Villejuif,Groupe scolaire Karl Marx
Ile-de-France,I,1993,Villejuif,Stade Karl-Marx
Ile-de-France,C,1996,Vincennes,Eglise Saint-Louis de Vincennes
Provence-Alpes-Côte d'Azur,I,1987,Fréjus,Mosquée de Missiri
Provence-Alpes-Côte d'Azur,I,1993,Grimaud,Club-house du Golf de Beauvallon
Provence-Alpes-Côte d'Azur,I,1993,Grimaud,Villa Seynave
Provence-Alpes-Côte d'Azur,I,1993,Grimaud,Villa Vent d'Aval
Provence-Alpes-Côte d'Azur,I,1975,Hyères,Villa Marie-Laure-de-Noailles ou château Saint-Bernard
Provence-Alpes-Côte d'Azur,C,1987,Pradet (Le),Villa l'Artaude
Provence-Alpes-Côte d'Azur,I,1989,Rayol-Canadel-sur-Mer,Pergola ronde du Pateck et escalier fleuri
Provence-Alpes-Côte d'Azur,I,1992,Saint-Tropez,Ancien groupe touristique Latitude 43
Provence-Alpes-Côte d'Azur,I,2004,Sainte-Maxime,Villa Bellevue
Provence-Alpes-Côte d'Azur,I,1983,Trans-en-Provence,Puits aérien
Provence-Alpes-Côte d'Azur,I,1993,Avignon,Eglise Saint-Joseph-Travailleur
Provence-Alpes-Côte d'Azur,I,1989,Avignon,Lycée agricole de Cantarel dit lycée agricole François Pétrarque
Provence-Alpes-Côte d'Azur,I,1984,Avignon,Rotonde SNCF
Provence-Alpes-Côte d'Azur,I,1992,Bollène,Usine-barrage André-Blondel
Provence-Alpes-Côte d'Azur,I,1988,Crestet,Atelier de Claude et François Stahly
Pays de la Loire,I,1984,Fontenay-le-Comte,Tour Rivalland
Pays de la Loire,I,2011,Ile-d'Yeu (L'),Le Grand Phare
Pays de la Loire,I&C,1991,Luçon,Château d'eau et ancienne usine d'électricité attenante
Pays de la Loire,I,2013,Mouchamps,Monument au Commandant Guilbaud
Pays de la Loire,C,2012,Sables-d'Olonne (Les),"Phare de l'Armandèche, situé à la Chaume"
Poitou-Charentes (Nouvelle-Aquitaine),I,2011,Bonneuil-Matours,Pont suspendu
Poitou-Charentes (Nouvelle-Aquitaine),C,2002,Châtellerault,Pont Camille-de-Hogues
Poitou-Charentes (Nouvelle-Aquitaine),I,2012,Ligugé,Ancienne filature
Poitou-Charentes (Nouvelle-Aquitaine),I,2002,Poitiers,Eglise Saint-Cyprien
Lorraine (Grand-Est),I&C,1913,Charmes,Eglise
Lorraine (Grand-Est),I,2013,Contrexéville,Gare de Contrexéville
Lorraine (Grand-Est),I,2013,Dogneville,Eglise Saint-Etienne
Lorraine (Grand-Est),C,2011,Epinal,Eglise Notre-Dame au Cierge
Lorraine (Grand-Est),C,2014,Raon-l'Etape,"Museumotel de l'île Haüsermann, anciennement appelé Motel l'Eau vive"
Lorraine (Grand-Est),C,1988,Saint-Dié,Manufacture Claude-et-Duval
Lorraine (Grand-Est),I,2013,Saint-Dié,Siège social de l'Usine Gantois
Lorraine (Grand-Est),I,1986,Thaon-les-Vosges,La Rotonde
Bourgogne (Bourgogne-Franche-Comté),I,2012,Auxerre,Théâtre municipal (ancienne Maison du Peuple)
Bourgogne (Bourgogne-Franche-Comté),I,2013,Saint-Julien-du-Sault,Maisons expérimentales construites par Jean Daladier
Bourgogne (Bourgogne-Franche-Comté),I,2011,Sens,Centre commercial dessiné par Claude Parent
Bourgogne (Bourgogne-Franche-Comté),I,2013,Sens,Immeuble de rapport Art Nouveau
Bourgogne (Bourgogne-Franche-Comté),C,2013,Sermizelles,Chapelle Notre-Dame d'Orient
Ile-de-France,I,1977,Aubergenville,Eglise Sainte-Thérèse-d'Elisabethville
Ile-de-France,I,1984,Mézy-sur-Seine,Château de Mézy dit le Gibet dit aussi Villa Poiret
Ile-de-France,I,1994,Montfort-l'Amaury,"Maison de Maurice Ravel, actuellement musée"
Ile-de-France,I,1996,Poissy,Hôtel de ville
Ile-de-France,C,1965,Poissy,Villa Savoye
Ile-de-France,I,1999,Rambouillet,Hôtel des Postes
Ile-de-France,I,1997,Saint-Rémy-lès-Chevreuse,Maison Wogenscky
Ile-de-France,I,1992,Trappes,Cité ouvrière Les Dents de Scie
Ile-de-France,I,1998,Versailles,Gare des Chantiers
Ile-de-France,I,1994,Versailles,Maison Cassandre
Ile-de-France,I,1986,Versailles,Villa Bomsel
Ile-de-France,I,1978,Vésinet (Le),Eglise Sainte-Marguerite
Ile-de-France,I,2010,Villepreux,Hangar agricole de Grand'Maisons
