Région,Type de protection,Année de protection,Commune,Appellation courante
Alsace (Grand-Est),C,1932,Lapoutroie,Champ de bataille de la Tête-des-Faux (également sur commune de Le Bonhomme)
Alsace (Grand-Est),I,1990,Mulhouse,Eglise catholique Sainte-Jeanne-d'Arc
Alsace (Grand-Est),I,2006,Mulhouse,Immeuble dit Bâtiment annulaire
Alsace (Grand-Est),I,1932,Neuf-Brisach,Porte du Fort Mortier
Corse,I,2008,Bastia,Centre paroissial Notre-Dame des Victoires
Midi-Pyrénées (Occitanie),I,1999,Bagnères-de-Luchon,Casino
Midi-Pyrénées (Occitanie),I,1999,Longages,"Halle-mairie, actuellement bibliothèque municipale"
Midi-Pyrénées (Occitanie),I,2004,Montréjeau,Halle
Midi-Pyrénées (Occitanie),I,1994,Toulouse,Bibliothèque municipale
Midi-Pyrénées (Occitanie),I,2007,Toulouse,Couvent - studium des Dominicains de Rangueil
Midi-Pyrénées (Occitanie),I,2006,Toulouse,Immeuble
Midi-Pyrénées (Occitanie),I,1997,Toulouse,"Immeuble dit de ""La Dépêche du Midi"""
Midi-Pyrénées (Occitanie),I,1993,Toulouse,Piscine municipale Alfred Nakache
Midi-Pyrénées (Occitanie),I,1997,Toulouse,Soufflerie de Banlève
Midi-Pyrénées (Occitanie),I,1997,Toulouse,Usine aéronautique Latécoère de Montaudran
Auvergne (Auvergne-Rhône-Alpes),I,2002,Puy-en-Velay (Le),Eglise Sainte-Thérèse du Val-Vert
Franche-Comté (Bourgogne-Franche-Comté),I,2003,Demangevelle,Ancienne salle des fêtes de la filature
Franche-Comté (Bourgogne-Franche-Comté),I,1994,Gray,Gare routière
Franche-Comté (Bourgogne-Franche-Comté),I&C,1965,Ronchamp,Chapelle Notre-Dame-du-Haut
Franche-Comté (Bourgogne-Franche-Comté),I,2001,Ronchamp,Chevalement du puits Sainte-Marie
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1991,Arâches,"Hôtel Le Flaine, station de Flaine"
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1986,Evian-les-Bains,Ancien établissement thermal
Limousin (Nouvelle-Aquitaine),I,1975,Limoges,"Ancien pavillon frigorifique, dit pavillon du Verdurier"
Limousin (Nouvelle-Aquitaine),I,1975,Limoges,Gare des Bénédictins
Limousin (Nouvelle-Aquitaine),I,2014,Limoges,Maison du peuple
Limousin (Nouvelle-Aquitaine),I,2012,Oradour-sur-Glane,Eglise Saint-Martin du nouveau bourg d'Oradour-sur-Glane
Limousin (Nouvelle-Aquitaine),I,1998,Saint-Martin-Terressus,Villa Monteux
